resourceID,Resource status [added/updated/removed],Passed validation [yes/no],Updated field(s)
ID0087,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0088,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0089,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0090,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0091,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0092,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
ID0093,added,yes,"resourceCategory, resourceDescription, resourceID, resourceKeywords, resourceSubcategory, resourceTags, resourceTitle, resourceUrl"
